ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
8CDaKz8brGdMrntjV5aRdfSXQKqXXF4xTQux9pMSQWXd,cex,deposit_wallet,coinbase deposit_wallet,coinbase
DTg3Yp1MDK9cNcwHSyGmJcF2tx2RLWUkRDYq7ifacJXJ,cex,deposit_wallet,coinbase deposit_wallet,coinbase
48wM8V3ZRGcumRr29jXrkHR5orLLvsG7qY3NvtQ6PHZh,cex,deposit_wallet,coinbase deposit_wallet,coinbase
AX79VzXykp4fYASC8Nyqwh88DhbzMsTRfejvVvZWDSdr,cex,deposit_wallet,coinbase deposit_wallet,coinbase
5a6pTNXhDrxu6hTwz5wdLymeb9YRVnrqbxnf8QDg6R9u,cex,deposit_wallet,binance deposit_wallet,binance
SbkjygovstftT5A3CrdNhBReBqPFkyyNXEEqoBMR1s3,cex,deposit_wallet,binance deposit_wallet,binance
Fyi8QkBwRShvLxcPByemVEU2P9cbK4VTwsfVAwg5ubuX,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
8pesJNWrJD5xcUAzDzJSZ48M68fL3jXvKeUE7rxaJdyn,cex,deposit_wallet,gate.io deposit_wallet,gate.io
EmD6Q27vfKuRzAzxmM47GVkYXZiiQtotakk1pfqTtWfk,cex,deposit_wallet,coinbase deposit_wallet,coinbase
47e4Akc4Ly29XKrEWetmDw9GwChCLmTt8qX3KFjBvk8k,cex,deposit_wallet,coinbase deposit_wallet,coinbase
CuRqesCj9Sqd3q6SmA1dqatyYLWL8D5wwAbn9V4kYf78,cex,deposit_wallet,binance deposit_wallet,binance
E79ZhiUZR7MKzKKtzBRLPzuZhas1jjxQZkVyiKWm7DWe,cex,deposit_wallet,gate.io deposit_wallet,gate.io
AVX1GvvurqPQYvdsqch8uWtF83tuV2XB6ECVH1MjwUZR,cex,deposit_wallet,coinbase deposit_wallet,coinbase
DYuMbzoLMw4DMgEZESqtKVDvYXUQMnYbwfHSH7EPf8QE,cex,deposit_wallet,coinbase deposit_wallet,coinbase
HAvxuajHGWP7bAdYT3vA9xD95FbPiiH6nX9VwjooNG9j,cex,deposit_wallet,binance deposit_wallet,binance
4Wz5tTFohkUfQCtcJDZHfntQRu4iJJRHSMecNVEEEWaD,cex,deposit_wallet,coinbase deposit_wallet,coinbase
6wcD7RhnuW8GEYpYwtR2snLLFtYEGKZNA5DsTqLKGeLG,cex,deposit_wallet,gate.io deposit_wallet,gate.io
HjR4TtF9hntuSQm9wB1RWfbtJL4RZJjjHgawZkCN6guB,cex,deposit_wallet,binance deposit_wallet,binance
49eHZw2YmjVBWmDopxmxtPjPAq12Y35DYEmYzoq54PQm,cex,deposit_wallet,binance deposit_wallet,binance
CQVKxVKkrjqJfqGLV4FDRahq8mjdE1zqgSfdsUkCyoDm,cex,deposit_wallet,crypto.com deposit_wallet,crypto.com
8ekea8NBKeidDH6VHgQjxfm1YioqhHFDJDGzcEnEefpD,cex,deposit_wallet,crypto.com deposit_wallet,crypto.com
6rrcvfXZcgG3PJu5rKjnHEhBzGBiypYF9JfAKM5EKV5g,cex,deposit_wallet,bybit deposit_wallet,bybit
HcyHcJKQpCwLetvB1kvoweppD1ubjWoRUyKTWuyehu2t,cex,deposit_wallet,binance deposit_wallet,binance
J3XYQYpjyVwLcUhFwMyi867mfKUDtBEELNtg2PgCypHq,cex,deposit_wallet,bybit deposit_wallet,bybit
A5wYHFic9eb8HmMKSpimLywGCq23Y5CCHE27hTr7t4uE,cex,deposit_wallet,binance deposit_wallet,binance
