address,chain,source,name,label_type,label_subtype,project,entity_type,entity_types
7LwTaoAHSRon5P8BPPTfAdTYigbLUaAY7Q3hqw3MVB3T,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7LwbS2eyT62cWLijtCAd98sbq6m7i6WwNyneY6mGykyQ,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7Ly9usRvNJgDujdC9b5hTNauaKjVstfHnjUyTPtEMTEk,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7LyFeZkWPtsCmWkzDCAAYsqco4r2khv3cRC3upe2vbgu,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7LyTqotupCdje9FHwhqHv2SwvgnGMsbQCWJUSmVfgQzS,solana,solana_cex,mexc deposit_wallet,cex,deposit_wallet,mexc,exchange,
7M1BzYsuGzu6Qepmuqf5THkp9zp6FUoGkFqjaEPmAYoX,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7M3GhoXPoyjtBHbzYrJ61eoMXJHGYTxvJ5WtuG6qzBV8,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7M3w9Cnrj7qGLhKNdXo38UXHGekhnTbfoT233idcYUWm,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7M4dbbFYL1Aquqv5HjBywx1oZfnhrWD4CLAohHqQdifh,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7M4kMPicmAxF1QQmozcoM1wKcXVdkYN3evf5ge2bZdjS,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7M52JEb7amj9Z7z2TtxhmvZHDXZGgBkiTQr8RLhMdevJ,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7M76m6Ek32k2hiFrpRfpTG1GVi8uRtkyYnutXRFzX4zD,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7M7SUYYTS4G22wKKyuGjE2SQd9eWsLEQHqCRiao51XAc,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7M7pfaSxSxmZ6syE9Q9yezSWtivKNvXj5bpemuLng5j1,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7M7tQKSnSrSyGo3YCvwouUxAe34U7pU5RTZEEiUNJEMC,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7M8Aqgd73fAYvNgueu1L5g9Jg6ZuUqTGRnupW5CT5mXy,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7M9VmLrdtQxa21T4KFMxpDic4MAioe4baoPQPWH79CMw,solana,solana_cex,okx deposit_wallet,cex,deposit_wallet,okx,exchange,
7MA8b82QB8khNXB5wURpQCo6vBiATujpRFbGLfBCw94T,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7MAU3rd4ru2REziTWWc9D9LS8woey1iZ9FKzEhyTiV3B,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7MAdZTL8ti3hBmWQj24AGNHrqVQ4PSjF5xTSEyBiGqvh,solana,solana_cex,crypto.com deposit_wallet,cex,deposit_wallet,crypto.com,exchange,
7MAie4QvXB1PGZZ5MyYERyWeYePFaKhGD66fkon1u2RP,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7MAxiaoWkpsvJkKueMC4zCTVt7p5osMDtGxfCDZS488k,solana,solana_defi,meteora: jupsol / msol,defi,pool,meteora,defi,
7MBBd1FUnPrbAjWJS7CuPRxcRkcFxdjB3XbUZA7h27ai,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7MBxgJNSngEnCZPbBbK4K6jpwDq1iveZVf4JoxQaTnM4,solana,solana_cex,coinbase deposit_wallet,cex,deposit_wallet,coinbase,exchange,
7MC5Aod3AZ46PMMds7ET76NxAj3nmbVZkUHStEUuMQm7,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7MCuNMeNUhudXu6JV7NcLEa31sbjnse4iaqWGiLsEUjC,solana,solana_cex,huobi global deposit_wallet,cex,deposit_wallet,huobi global,exchange,
7MCz3rYfoBZJ3i5KCykJ6XwJXv5Na1kAsAgwtq5XNBZh,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7MFgFaYhWSxZJ4VPzSRbtY5KGie7zv6a4y8xKAfGC9kg,solana,solana_cex,kucoin deposit_wallet,cex,deposit_wallet,kucoin,exchange,
7MGJyvpKJ8v8RJoB7quvMfYh9iU6i6ZwKG7Rj2ZjWDcZ,solana,solana_cex,backpack exchange deposit_wallet,cex,deposit_wallet,backpack exchange,exchange,
7MGsu8sUxVz2QCE4jAasdT8Hbt1Dq2k9wyLyjZc5rFnH,solana,solana_cex,bybit deposit_wallet,cex,deposit_wallet,bybit,exchange,
7MH1FrNAk2wJmNakMon3QrtjhiGy3wXzhNHNgg6rHA7s,solana,solana_cex,gate.io deposit_wallet,cex,deposit_wallet,gate.io,exchange,
7MHVen9FDEpAX7QQLaNcWRyZu2zBLrf2sV7RhVEcAJrG,solana,solana_cex,binance deposit_wallet,cex,deposit_wallet,binance,exchange,
7MJGpqPNmANNH7FZVAeFhWWxZceyk66uHYbf9WpV5had,solana,solana_cex,crypto.com deposit_wallet,cex,deposit_wallet,crypto.com,exchange,
7MJoBk3NmfLAGLzDmqAZWxQgyZGES7DfPCdRAoVmYAnY,solana,solana_dapp,test dao,dapp,governance,test dao,dapp,
